route_id,agency_id,route_long_name,route_long_name_ar,route_short_name,route_type,continuous_pickup,continuous_drop_off,route_short_name_ar
I46ZQc9g0OMvTpnnq0RXs,P_O_14,Asafra - Sidi Bishr,العصافرة - سيدي بشر,Microbus ,3,1,1,ميكروباص
tv4mLSYvBC5Q4aSnL5h83,P_O_14,Asafra - El-Mawqaf El-Geded,العصافرة - الموقف الجديد,Microbus ,3,1,1,ميكروباص
d591FuxnMulU7vr6uNxrB,P_O_14,Asafra - Hadra,العصافرة - الحضرة,Microbus ,3,1,1,ميكروباص
ruQq1su0J7bVhBjmIi2kw,P_O_14,Asafra - El-Mansheya,العصافرة - المنشية,Microbus ,3,1,1,ميكروباص
dpTyJ7ihIOXu0gGo2F3iz,P_O_14,Asafra - El-Sa'ah (Clock Square),العصافرة - الساعة (ميدان الساعة),Microbus ,3,1,1,ميكروباص
aeeOOe3-Dtz86MK-Ltc0F,P_O_14,Asafra - El-Awayed,العصافرة - العوايد,Microbus ,3,1,1,ميكروباص
5NjpP8xmvr1-OYnw7E5Jn,P_O_14,El-Mansheya - Sidi Bishr,المنشية - سيدي بشر,Microbus ,3,1,1,ميكروباص
E14B9x9RNkVqAHJvJBYqa,P_O_14,Al-Seyouf (Falaky) - El-Mansheya,السيوف (فلكي) - المنشية,Microbus ,3,1,1,ميكروباص
hx4EeoLjM7NJfnYrVfGvk,P_B_8,Al-Rahma - El-Awayed,الرحمة - العوايد,Tomnaya ,3,1,1,تومناية
2z926Q9o3YtgjyoxtMW1d,P_O_14,El-Mansheya - El-Mawqaf El-Geded,المنشية - الموقف الجديد,Microbus ,3,1,1,ميكروباص
eW27jXPyPLkZFOoF5g9lr,P_O_14,Airport - Train Station (El-Shohada Square),المطار - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
o8mSXE7IgJWToUsU4NnFr,P_O_14,El-Mansheya - El-Sa'ah (Clock Square),المنشية - الساعة (ميدان الساعة),Microbus ,3,1,1,ميكروباص
FaHumA7HIyjyuC7E4M1jZ,P_O_14,El-Awayed - El-Mansheya,العوايد - المنشية,Microbus ,3,1,1,ميكروباص
ndixtJMAJzaQiITLSzYz_,P_O_14,Al-Seyouf (Falaky) - El-Awayed,السيوف (فلكي) - العوايد,Microbus ,3,1,1,ميكروباص
W1YoMQsS8c1ZcZdd_AJ4R,P_B_8,Al-Milaha - Izbat Hawd 10,الملاحة - عزبة حوض ١٠,Tomnaya ,3,1,1,تومناية
yX2mhzfbx4_bbd2DANmLp,P_B_8,Al-Milaha - Izbat Hawd 12,الملاحة - عزبة حوض ١٢,Tomnaya ,3,1,1,تومناية
DKfQEdGZMwRbkHDkrwcPx,P_O_14,Abu Qir - El-Mansheya,أبو قير - المنشية,Microbus ,3,1,1,ميكروباص
xkITynYnba-VdPTlpu5kL,P_O_14,El-Mansheya - Victoria station,المنشية - محطة فيكتوريا,Microbus ,3,1,1,ميكروباص
lbr0LeYaqC-PO2eSd5dsH,P_O_14,El-Mansheya - Ezbet Saad,المنشية - عزبة سعد,Microbus ,3,1,1,ميكروباص
O-PLpyiKLXCmTOTN2ykl2,P_O_14,El-Mansheya - Smouha,المنشية - سموحة,Microbus ,3,1,1,ميكروباص
rJNlVBeJYLnin9iUCfQ8_,P_O_14,El-Mansheya - Hagar Al-Nawateyah (Namos Bridge),المنشية - حجر النواتية (كوبرى الناموس),Microbus ,3,1,1,ميكروباص
7udRe7A9ekRD6rtEEN_uD,P_O_14,Bakus - El-Mansheya,باكوس - المنشية,Microbus ,3,1,1,ميكروباص
kdziSzfhBj4JiBeVoloxo,P_O_14,El-Mansheya - Green Plaza Mall,المنشية - مول جرين بلازا,Microbus ,3,1,1,ميكروباص
xg6X_6yI3-x6agQaIKy0r,P_O_14,Abo Soliman - El-Mansheya,أبو سليمان - المنشية,Microbus ,3,1,1,ميكروباص
TPxz_LmHA0qyDz7QFLo1e,P_O_14,El-Awayed - Sidi Bishr,العوايد - سيدي بشر,Microbus ,3,1,1,ميكروباص
2vubw4wDlR7h4SuBBiS6p,P_O_14,El-Awayed - El-Mawqaf El-Geded,العوايد - الموقف الجديد,Microbus ,3,1,1,ميكروباص
QKCnSGkAqgRmQ4fUeYRP-,P_O_14,El-Awayed - El-Sa'ah (Clock Square),العوايد - الساعة (ميدان الساعة),Microbus ,3,1,1,ميكروباص
EYuJpRuohnv2M2djd0oRb,P_O_14,Abis 8 - Train Station (El-Shohada Square),أبيس ٨ - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
2HEouGQcgjyXwlsq69h3S,P_O_14,El-Awayed - Train Station (El-Shohada Square),العوايد - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
vToQ2sD35oGmngQzvKN9j,P_O_14,El-Awayed - El-Mandara,العوايد - المندرة,Microbus ,3,1,1,ميكروباص
