stop_id,stop_name,stop_lat,stop_lon,stop_name_ar
1,Borg Al-Arab Old Terminal,30.883987,29.497864,محطة برج العرب القديمة
2,Baheeg Square,30.901450370811805,29.54438681225795,ميدان بهيج
3,Al-Marwa Mosque,30.903941,29.5475212,مسجد المروة
4,Baheeg Traffic Department,30.942326,29.5933765, وحدة مرور برج العرب(بهيج)
5,King Heights,30.94888523529026,29.606113488750637,كينج هايتس
6,Om Zeghyo,31.0713418,29.7615553,أم زغيو
7,Al-Madfan,31.0751035,29.7532603,المدفن
8,Al-Masaken,31.076461156923276,29.747691631226648,المساكن
9,Al-Emam Al-Shafaay Azhari Institute,31.077242439316,29.744464503630752,معهد الإمام الشافعى الأزهري
10,Awal Al-Tawkeel,31.07330677468198,29.759549766592645,أول التوكيل
11,Zoro Cafe,31.07773474251388,29.740311639202424,كافيه زورو
12,Kilo 21,31.07786,29.737498,كيلو 21
13,Street 6 Asafra,31.265459,30.00321,شارع 6 عصافرة
14,Street 6 Asafra,31.265569,30.003204,شارع 6 عصافرة
15,Kilo 21,31.0776791,29.7373385,كيلو 21
16,Kilo 21,31.0781467,29.7354705,كيلو 21
17,Asafra Station,31.269167,30.00663,محطة عصافرة
18,Kilo 21,31.079196,29.736365,كيلو 21
19,Kilo 21,31.078987338890556,29.73646382720414,كيلو 21
21,Asafra Station,31.267843824558376,30.00999215034812,محطة عصافرة
22,Al-Zohour St.,31.08429921233613,29.74414915782546,شارع الزهور
23,Al-Taawon Gas Station,31.084588231112285,29.74493911841588,محطة التاوون للغاز
24,Al-Sabereen Mosque,31.086848249848305,29.74878217947776,مسجد الصابريين
25,Al-Mashtal St.,31.08750266733665,29.750403263139155,شارع المشتل
26,Al-Beit Al-Abyad Center,31.08998613050114,29.75505918725413,مركز البيت الأبيض
27,Abu Youssef St.,31.090592840440653,29.755890295391197,شارع أبو يوسف
28,Awlad Ragab,31.09170631460263,29.758056370481107,أولاد رجب
29,Al-Hadeed Wel Solb St.,31.0929409856082,29.761050044259147,شارع الحديد والصلب
30,Felfel Butchery,31.093924,29.764079,محل فلفل لللحوم
31,Al-Saleh,31.094122594031752,29.765089462828037,الصالح
32,Street 45 - Miami Bridge,31.267516,30.000048,شارع 45 - كوبري ميامي
33,Hanuvil Market,31.097648833178127,29.770092902126763,سوق هانوفيل
34,Hanuvil St.,31.09932,29.771776,شارع هانوفيل
35,Banque Misr,31.104377916856155,29.76619657974583,بنك مصر 
36,Awal Radwan,31.10227801643566,29.768239035593343,أول ردوان
37,Maurice,31.1070751266196,29.763606079660025,موريس
38,Hauvil St.,31.099346565905662,29.77206177010237,شارع هوفيل
39,Hanuvil Market,31.09751565988333,29.76975106224339,سوق هانوفيل
40,Mobil Gas,31.099970450948085,29.77256998379859,موبيل غاز
41,Classic Patesserie,31.10071866697886,29.7738780778096,كلاسيك باتيسيرى
42,Classic Patesserie,31.101100113644183,29.774283276298394,كلاسيك باتيسيرى
43,Hanuvil Hospital,31.101549360710408,29.775386062614174,مستشفى هانوفيل
44,Hanuvil Hospital,31.10163332079596,29.77528868100621,مستشفى هانوفيل
45,Street 45 - Miami Bridge,31.26765396860389,30.00013775847766,شارع 45 - جسر ميامي
46,Agamy School,31.10258119087876,29.776924344496223,مدرسة العجمي
47,Agamy School,31.10247064771765,29.77696597611736,مدرسة العجمي
48,Abu Qir Station,31.320357,30.062969,محطة أبو قير
49,Abu Qir Station,31.320290280590605,30.063081346910604,محطة أبو قير
50,Abu Qir Club,31.318914943980992,30.062263211645224,نادي أبو قير
51,Abu Qir Club,31.31882208245186,30.0623595892852,نادى أبو قير
52,Abu Qir Train Station,31.317800828176164,30.061647676769557,محطة أبو قير للقطار
53,Abu Qir Train Station,31.317760845727907,30.061729010172076,محطة أبو قير للقطار
54,AAST Intersection,31.30886,30.058856,تقاطع الأكاديمية البحرية ابوقير
55,AAST Intersection,31.308837,30.058945,تقاطع الأكاديمية البحرية ابوقير
56,Abu Qir Engineering Company,31.315974648631386,30.06086703299343,شركة أبو قير الهندسية
57,Abu Qir Engineering Company,31.31595111565315,30.06096819632825,شركة أبو قير الهندسية
58,Administration Station,31.30438666408058,30.05765015014116,محطة الادراية
59,Administration Station,31.30434366531837,30.0577327403836,محطة الادراية
60,Street 16 (Montazah),31.302066,30.062691,شارع 16 (المنتزه)
61,El Sadat Mosque Abu Qir,31.30061917949577,30.056728162444465,مسجد السادات أبو قير
62,El Sadat Mosque Abu Qir,31.300590199015037,30.05681844778829,مسجد السادات أبو قير
63,Al Souq Entrance Abu Qir,31.29613133640687,30.05494265397035,مدخل السوق أبو قير
64,Al Souq Entrance Abu Qir,31.296045905859323,30.055015142278545,مدخل السوق أبو قير
65,Al Maamoura,31.29185501009818,30.052065352162227,المعمورة
66,Al Maamoura,31.291819,30.052346,المعمورة
67,Al Islah,31.284620092219768,30.03981789105517,الإصلاح
68,Al Islah,31.28450866587457,30.03982922395801,الإصلاح
69,Maamoura Children Park,31.284028419006447,30.03500306571987,حديقة أطفال المعمورة
70,Maamoura Children Park,31.283901220394625,30.03504584609082,حديقة أطفال المعمورة
71,Maamoura Gates,31.283503,30.027416,أبواب المعمورة
72,Maamoura Gates,31.28329643673818,30.027426619491692,أبواب المعمورة
73,Street 25 Entrance,31.261929868936555,30.07109135210021,مدخل شارع 25
74,Street 25 Entrance,31.26189148110213,30.07096695731467,مدخل شارع 25
75,Al Montazah Train Station,31.282523,30.020785,محطة المنتزه للقطار
76,Al Montazah Train Station,31.282379522948187,30.02083262936536,محطة المنتزه للقطار
77,El Mandara Bridge,31.280394562510203,30.01622013525992,كوبري المندرة
78,El Mandara Bridge,31.280334061811388,30.01627109390113,كوبري المندرة
79,El Mandara,31.28087458997082,30.01512601510778,المندرة
80,El Mandara,31.280742433500382,30.01496881705816,المندرة
81,El Mandara South,31.27608471349754,30.01759702995747,المندرة الجنوبية
82,El Mandara South,31.2759693105936,30.017544953982128,المندرة الجنوبية
83,School of Islamic Studies,31.271116321176763,30.023042496172888,مدرسة الدراسات الإسلامية
84,School of Islamic Studies,31.271019714852965,30.02334246864899,مدرسة الدراسات الإسلامية
85,Al Milaha,31.264476,30.027827,الملاحة
86,Al Milaha,31.264494171970053,30.027964650115383,الملاحة
87,Al Berolos Canal,31.2733708679788,30.05855145261985,ترعة البرولوس
88,Street 45 Asafra,31.261259,30.010096,شارع 45 عصافرة
89,Street 45 Asafra,31.261368,30.010232,شارع 45 عصافرة
90,Street 45 Asafra Church,31.260050874481077,30.01164796505349,شارع 45 كنيسة عصافرة
91,Street 45 Asafra Church,31.260197354407083,30.01173441854742,شارع 45 كنيسة عصافرة
92,Oqba Ibn Nafea Hospital,31.261862144640517,30.009202385063386,مستشفى عقبة بن نافع
93,Oqba Ibn Nafea Hospital,31.262003716575844,30.00932217018677,مستشفى عقبة بن نافع
94,Street 18 Asafra,31.262648204484577,30.0078609170332,شارع 18 عصافرة
95,Street 18 Asafra,31.262762364053685,30.008019723078785,شارع 18 عصافرة
96,Abu Omar Pastry Asafra,31.26405301163369,30.005482545300826,معجنات أبو عمر عصافرة
97,Abu Omar Pastry Asafra,31.264191267878942,30.00562672338883,معجنات أبو عمر عصافرة
98,Asafra Station,31.27032719927813,30.00542106515449,محطة عصافرة
99,Asafra Station,31.270074984281106,30.00572878258952,محطة عصافرة
100,Asafra Train Station,31.273156617824355,30.00814825616031,محطة عصافرة للقطار
101,El Mandara Square,31.280202,30.012224,ميدان المندرة
102,Sheraton Montazah,31.281669696816405,30.010696789980265,شيراتون منتزة
103,Sheraton Montazah,31.281753808795305,30.01062337711472,شيراتون منتزة
104,Water Company El Mandara,31.279721588158804,30.00934453167945,شركة المياه المندرة
105,Water Company El Mandara,31.279642,30.00941,شركة المياه المندرة
106,Makram Ice Cream El Mandara,31.27798967553545,30.007132792379696,مكرم آيس كريم المندرة
107,Makram Ice Cream El Mandara,31.277991336417045,30.00734891128056,مكرم آيس كريم المندرة
108,El Nasreya El Qadema,30.99838955961589,29.787748816714704,الناصرية القديمة
109,El Nasreya El Qadema,30.99854458955898,29.787752084822152,الناصرية القديمة
110,El Tayeb El Nasreya,31.001647,29.785412,الطيب الناصرية
111,El Tayeb El Nasreya,31.00157075086648,29.785554378678118,الطيب الناصرية
112,Green Gate El Nasreya,31.00648302196852,29.792355133339488,باب الخضر الناصرية
113,Green Gate El Nasreya,31.006271984773974,29.792340235305467,باب الخضر الناصرية
114,Amreya Hospital,31.011924,29.798221,مستشفى العمرية
115,Amreya Hospital,31.01145322358208,29.7989356947314,مستشفى العمرية
116,Amreya Station,31.00960650202412,29.805425230132894,محطة العمرية
117,Amreya Station,31.009488956043207,29.80535197763637,محطة العمرية
119,El Ola Company Amreya,31.00557668952639,29.804038971220415,شركة العلا العمرية
